,Notes,County,COUNTYFP,Deaths,Population,Crude Rate
168,"167,167,""","Henry County"","" GA""""","13151""""",50,949155,"5.3"""
169,"168,168,""","Houston County"","" GA""""","13153""""",47,640271,"7.3"""
170,"169,169,""","Jackson County"","" GA""""","13157""""",14,299884,"Unreliable"""
171,"170,170,""","Laurens County"","" GA""""","13175""""",12,191930,"Unreliable"""
172,"171,171,""","Liberty County"","" GA""""","13179""""",21,251647,"8.3"""
173,"172,172,""","Lowndes County"","" GA""""","13185""""",32,471271,"6.8"""
174,"173,173,""","McDuffie County"","" GA""""","13189""""",11,85638,"Unreliable"""
175,"174,174,""","Muscogee County"","" GA""""","13215""""",71,791988,"9.0"""
176,"175,175,""","Newton County"","" GA""""","13217""""",33,449935,"7.3"""
177,"176,176,""","Paulding County"","" GA""""","13223""""",22,679850,"3.2"""
178,"177,177,""","Richmond County"","" GA""""","13245""""",65,811824,"8.0"""
179,"178,178,""","Rockdale County"","" GA""""","13247""""",20,366511,"5.5"""
180,"179,179,""","Spalding County"","" GA""""","13255""""",11,268126,"Unreliable"""
181,"180,180,""","Thomas County"","" GA""""","13275""""",12,179113,"Unreliable"""
182,"181,181,""","Troup County"","" GA""""","13285""""",18,279890,"Unreliable"""
183,"182,182,""","Walker County"","" GA""""","13295""""",10,277797,"Unreliable"""
184,"183,183,""","Walton County"","" GA""""","13297""""",17,384824,"Unreliable"""
185,"184,184,""","Whitfield County"","" GA""""","13313""""",21,415375,"5.1"""
186,"185,185,""","Hawaii County"","" HI""""","15001""""",21,808742,"2.6"""
187,"186,186,""","Honolulu County"","" HI""""","15003""""",149,3919359,"3.8"""
188,"187,187,""","Maui County"","" HI""""","15009""""",13,666747,"Unreliable"""
189,"188,188,""","Ada County"","" ID""""","16001""""",47,1957883,"2.4"""
190,"189,189,""","Bannock County"","" ID""""","16005""""",11,352004,"Unreliable"""
191,"190,190,""","Bonneville County"","" ID""""","16019""""",24,485980,"4.9"""
192,"191,191,""","Canyon County"","" ID""""","16027""""",35,933516,"3.7"""
193,"192,192,""","Kootenai County"","" ID""""","16055""""",14,677619,"Unreliable"""
194,"193,193,""","Champaign County"","" IL""""","17019""""",40,834807,"4.8"""
195,"194,194,""","Cook County"","" IL""""","17031""""",825,20612156,"4.0"""
196,"195,195,""","DeKalb County"","" IL""""","17037""""",11,413945,"Unreliable"""
197,"196,196,""","DuPage County"","" IL""""","17043""""",90,3693876,"2.4"""
198,"197,197,""","Franklin County"","" IL""""","17055""""",10,152672,"Unreliable"""
199,"198,198,""","Grundy County"","" IL""""","17063""""",11,206008,"Unreliable"""
200,"199,199,""","Jackson County"","" IL""""","17077""""",12,223409,"Unreliable"""
201,"200,200,""","Kane County"","" IL""""","17089""""",83,2113217,"3.9"""
202,"201,201,""","Kankakee County"","" IL""""","17091""""",21,435081,"4.8"""
203,"202,202,""","Kendall County"","" IL""""","17093""""",15,522410,"Unreliable"""
204,"203,203,""","Lake County"","" IL""""","17097""""",68,2802199,"2.4"""
205,"204,204,""","LaSalle County"","" IL""""","17099""""",13,434635,"Unreliable"""
206,"205,205,""","McHenry County"","" IL""""","17111""""",36,1233354,"2.9"""
207,"206,206,""","McLean County"","" IL""""","17113""""",19,686490,"Unreliable"""
208,"207,207,""","Macon County"","" IL""""","17115""""",16,414168,"Unreliable"""
209,"208,208,""","Madison County"","" IL""""","17119""""",38,1054552,"3.6"""
210,"209,209,""","Peoria County"","" IL""""","17143""""",38,716884,"5.3"""
211,"210,210,""","Rock Island County"","" IL""""","17161""""",14,569172,"Unreliable"""
212,"211,211,""","St. Clair County"","" IL""""","17163""""",60,1033587,"5.8"""
213,"212,212,""","Sangamon County"","" IL""""","17167""""",34,778636,"4.4"""
214,"213,213,""","Tazewell County"","" IL""""","17179""""",12,525321,"Unreliable"""
215,"214,214,""","Vermilion County"","" IL""""","17183""""",17,300514,"Unreliable"""
216,"215,215,""","Will County"","" IL""""","17197""""",94,2769031,"3.4"""
217,"216,216,""","Winnebago County"","" IL""""","17201""""",58,1131067,"5.1"""
218,"217,217,""","Woodford County"","" IL""""","17203""""",10,153238,"Unreliable"""
219,"218,218,""","Allen County"","" IN""""","18003""""",77,1525445,"5.0"""
220,"219,219,""","Bartholomew County"","" IN""""","18005""""",15,333454,"Unreliable"""
221,"220,220,""","Clark County"","" IN""""","18019""""",10,477666,"Unreliable"""
222,"221,221,""","Delaware County"","" IN""""","18035""""",16,454232,"Unreliable"""
223,"222,222,""","Elkhart County"","" IN""""","18039""""",39,824983,"4.7"""
224,"223,223,""","Floyd County"","" IN""""","18043""""",12,315693,"Unreliable"""
225,"224,224,""","Grant County"","" IN""""","18053""""",13,263193,"Unreliable"""
226,"225,225,""","Hamilton County"","" IN""""","18057""""",38,1368985,"2.8"""
